algo,k,acc
KNN,1,0.704281997
KNN,3,0.741660752
KNN,5,0.74852141
KNN,7,0.746865389
KNN,9,0.751360303
KNN,11,0.753252898
KNN,13,0.759876981
Gauss-KNN,1,0.704281997
Gauss-KNN,3,0.724627395
Gauss-KNN,5,0.728176011
Gauss-KNN,7,0.730541755
Gauss-KNN,9,0.735509818
Gauss-KNN,11,0.737165839
Gauss-KNN,13,0.739531583
Improve-KNN,1,0.715400994
Improve-KNN,3,0.741660752
Improve-KNN,5,0.762597587
Improve-KNN,7,0.775372605
Improve-KNN,9,0.77430802
Improve-KNN,11,0.779985806
Improve-KNN,13,0.781760114
Improve-Gauss-KNN,1,0.718594748
Improve-Gauss-KNN,3,0.749467708
Improve-Gauss-KNN,5,0.767210788
Improve-Gauss-KNN,7,0.771114266
Improve-Gauss-KNN,9,0.777501774
Improve-Gauss-KNN,11,0.77430802
Improve-Gauss-KNN,13,0.782469837
